loan_id,origination_date,sector,region,years_trading,turnover_gbp,employees,ebitda_margin,leverage,interest_coverage,loan_amount_gbp,term_months,secured,ltv,bureau_score,days_past_due,default_12m,lgd,ead_gbp,boe_base_rate,uk_unemployment_rate,uk_gdp_yoy
UKSME-100000,2024-02-05,Transport,North West,11.8,4436140.0,54,-0.0207,1115.42,-1.17,104122.0,24,0,,609,15,0,0.461,95308.0,5.25,4.3,0.6
UKSME-100001,2021-10-04,Construction,South East,20.4,5349889.0,73,-0.0463,2518.13,-1.41,58341.0,60,1,0.621,667,5,1,0.197,52721.0,5.25,4.3,0.6
UKSME-100002,2021-06-16,Transport,London,10.9,1093220.0,9,0.1399,3.62,3.95,27147.0,60,0,,653,0,0,0.706,26116.0,5.25,4.3,0.6
UKSME-100003,2022-07-20,Manufacturing,South West,3.5,1252312.0,7,0.1529,2.14,6.68,55771.0,48,1,0.567,774,0,0,0.228,53383.0,5.25,4.3,0.6
UKSME-100004,2021-03-06,Real Estate,South East,8.4,727354.0,7,0.1558,3.12,4.58,137118.0,60,0,,694,5,0,0.78,123479.0,5.25,4.3,0.6
UKSME-100005,2022-05-18,Construction,London,3.6,264124.0,1,0.0957,5.76,2.48,101263.0,72,0,,617,0,0,0.595,83474.0,5.25,4.3,0.6
UKSME-100006,2021-07-26,Transport,London,6.5,920847.0,12,0.0149,37.55,0.38,164914.0,36,1,0.653,620,0,0,0.305,146704.0,5.25,4.3,0.6
UKSME-100007,2022-08-01,Hospitality,London,13.8,503151.0,4,0.081,3.3,4.33,20767.0,84,1,0.591,597,15,0,0.26,18274.0,5.25,4.3,0.6
UKSME-100008,2022-09-25,Retail,South East,10.5,1312128.0,10,0.0151,17.63,0.81,53721.0,84,1,0.506,828,0,0,0.319,42123.0,5.25,4.3,0.6
UKSME-100009,2024-02-11,Retail,South East,9.7,917295.0,12,0.1207,4.95,2.89,20255.0,60,1,1.004,522,0,0,0.204,18213.0,5.25,4.3,0.6
UKSME-100010,2021-05-03,Transport,North West,13.7,498333.0,2,0.1731,1.57,9.09,49093.0,48,0,,714,5,0,0.661,42408.0,5.25,4.3,0.6
UKSME-100011,2021-05-27,Manufacturing,London,5.1,731661.0,6,0.1749,2.08,6.88,209460.0,36,1,0.807,607,0,0,0.48,168691.0,5.25,4.3,0.6
UKSME-100012,2023-05-31,Real Estate,West Midlands,13.8,1310437.0,12,0.1469,4.15,3.44,33509.0,84,0,,730,0,0,0.712,27799.0,5.25,4.3,0.6
UKSME-100013,2021-04-14,Technology,North West,18.0,1193399.0,8,0.027,4.14,3.45,132045.0,60,1,0.859,630,0,0,0.161,108036.0,5.25,4.3,0.6
UKSME-100014,2022-10-02,Transport,Yorkshire,4.5,1155967.0,11,0.1527,1.98,7.22,217172.0,48,0,,727,0,0,0.484,172423.0,5.25,4.3,0.6
UKSME-100015,2023-03-27,Professional Services,South East,3.8,1673988.0,9,0.0866,5.69,2.51,111962.0,120,0,,693,0,1,0.586,84760.0,5.25,4.3,0.6
UKSME-100016,2024-03-30,Professional Services,South East,4.3,560026.0,3,0.1378,5.1,2.8,90026.0,120,1,0.504,783,0,0,0.268,77205.0,5.25,4.3,0.6
UKSME-100017,2021-09-03,Retail,London,9.0,2664786.0,16,0.0638,7.1,2.01,1500000.0,72,0,,754,5,0,0.496,1195667.0,5.25,4.3,0.6
UKSME-100018,2023-04-14,Transport,London,13.1,262986.0,3,0.1721,1.55,9.19,125001.0,12,1,0.292,718,0,0,0.303,112262.0,5.25,4.3,0.6
UKSME-100019,2023-02-13,Professional Services,East of England,8.9,480816.0,3,-0.0215,186.22,-0.79,40312.0,48,1,0.803,739,0,1,0.23,35216.0,5.25,4.3,0.6
UKSME-100020,2023-03-13,Healthcare,Scotland,14.8,1205302.0,9,0.1347,1.43,10.0,413024.0,60,1,0.437,720,0,0,0.188,394850.0,5.25,4.3,0.6
UKSME-100021,2021-04-04,Professional Services,London,11.6,2308474.0,28,-0.0945,335.01,-9.3,58261.0,48,0,,599,0,1,0.704,52190.0,5.25,4.3,0.6
UKSME-100022,2023-02-01,Construction,South East,8.7,2261477.0,15,0.1341,2.83,5.04,210069.0,60,0,,711,0,0,0.837,159345.0,5.25,4.3,0.6
UKSME-100023,2024-04-06,Hospitality,North West,6.1,1237196.0,7,0.0627,4.45,3.21,172269.0,84,0,,782,0,1,0.369,149219.0,5.25,4.3,0.6
UKSME-100024,2022-04-02,Real Estate,West Midlands,25.0,6304781.0,75,0.1295,0.34,41.57,86029.0,36,0,,766,0,0,0.491,65272.0,5.25,4.3,0.6
UKSME-100025,2021-03-03,Hospitality,London,1.0,905113.0,11,0.0753,7.26,1.97,80275.0,48,1,0.698,755,0,0,0.361,67209.0,5.25,4.3,0.6
UKSME-100026,2022-07-23,Professional Services,North West,28.4,1407000.0,9,0.2005,1.84,7.78,78783.0,72,1,0.559,590,5,0,0.155,70581.0,5.25,4.3,0.6
UKSME-100027,2024-04-03,Construction,London,11.6,197219.0,1,0.1174,2.66,5.37,15230.0,60,1,0.843,787,0,0,0.227,14352.0,5.25,4.3,0.6
UKSME-100028,2021-06-22,Hospitality,London,4.5,464828.0,5,0.0971,4.27,3.35,34735.0,60,0,,657,0,0,0.624,31710.0,5.25,4.3,0.6
UKSME-100029,2024-02-15,Technology,West Midlands,11.3,1259848.0,16,0.1008,4.41,3.24,76797.0,48,0,,661,0,0,0.566,69743.0,5.25,4.3,0.6
UKSME-100030,2022-04-16,Wholesale,South West,24.9,871503.0,6,0.1586,1.15,12.44,42640.0,48,1,0.513,699,65,0,0.287,42217.0,5.25,4.3,0.6
UKSME-100031,2024-05-09,Wholesale,London,15.6,521991.0,5,0.0208,34.46,0.41,211398.0,120,1,0.566,549,35,0,0.252,173172.0,5.25,4.3,0.6
UKSME-100032,2021-04-15,Retail,North West,19.3,873714.0,5,0.0967,3.63,3.93,76289.0,72,0,,641,0,0,0.918,71674.0,5.25,4.3,0.6
UKSME-100033,2022-12-18,Retail,Scotland,12.9,1424802.0,18,0.1297,0.08,184.75,57444.0,72,1,0.549,881,0,0,0.277,48920.0,5.25,4.3,0.6
UKSME-100034,2022-08-01,Professional Services,East Midlands,9.9,1039791.0,7,0.0479,7.8,1.83,101129.0,48,0,,836,0,0,0.65,88175.0,5.25,4.3,0.6
