loan_id,origination_date,sector,region,years_trading,turnover_gbp,employees,ebitda_margin,leverage,interest_coverage,loan_amount_gbp,term_months,secured,ltv,bureau_score,days_past_due,default_12m,lgd,ead_gbp,boe_base_rate,uk_unemployment_rate,uk_gdp_yoy,pd_raw,pd_calibrated,stage,ecl_horizon_m,pd_lifetime,pd_for_ecl,ecl
UKSME-100000,2024-02-05,Transport,North West,11.8,4436140.0,54,-0.0207,1115.42,-1.17,104122.0,24,0,0.0,609,15,0,0.461,95308.0,5.25,4.3,0.6,0.6145016164251104,0.6216837869682176,Stage 2,24,0.856876842957291,0.856876842957291,39968.06645355934
UKSME-100001,2021-10-04,Construction,South East,20.4,5349889.0,73,-0.0463,2518.13,-1.41,58341.0,60,1,0.621,667,5,1,0.197,52721.0,5.25,4.3,0.6,0.7659843849057787,0.7749370553930514,Stage 3,60,0.9994225425572343,0.9994225425572343,10501.209208258242
UKSME-100002,2021-06-16,Transport,London,10.9,1093220.0,9,0.1399,3.62,3.95,27147.0,60,0,0.0,653,0,0,0.706,26116.0,5.25,4.3,0.6,0.1901740875367155,0.1923968037884879,Stage 2,60,0.6564498477793477,0.6564498477793477,13876.724686878159
UKSME-100003,2022-07-20,Manufacturing,South West,3.5,1252312.0,7,0.1529,2.14,6.68,55771.0,48,1,0.567,774,0,0,0.228,53383.0,5.25,4.3,0.6,0.10109328727911372,0.10227484516373878,Stage 1,12,0.10227484516373875,0.10227484516373878,1427.1864481969706
UKSME-100004,2021-03-06,Real Estate,South East,8.4,727354.0,7,0.1558,3.12,4.58,137118.0,60,0,0.0,694,5,0,0.78,123479.0,5.25,4.3,0.6,0.179569321115879,0.18166809100369005,Stage 2,60,0.6330157472131609,0.6330157472131609,69899.85571731123
UKSME-100005,2022-05-18,Construction,London,3.6,264124.0,1,0.0957,5.76,2.48,101263.0,72,0,0.0,617,0,0,0.595,83474.0,5.25,4.3,0.6,0.2401611782976289,0.24296813355089855,Stage 2,60,0.7513601098548048,0.7513601098548048,41451.741570718375
UKSME-100006,2021-07-26,Transport,London,6.5,920847.0,12,0.0149,37.55,0.38,164914.0,36,1,0.653,620,0,0,0.305,146704.0,5.25,4.3,0.6,0.2609886732656995,0.26403905606553385,Stage 2,36,0.6013752101754551,0.6013752101754551,30850.440924498333
UKSME-100007,2022-08-01,Hospitality,London,13.8,503151.0,4,0.081,3.3,4.33,20767.0,84,1,0.591,597,15,0,0.26,18274.0,5.25,4.3,0.6,0.20872245662234773,0.21116196245857152,Stage 2,60,0.6945506396785308,0.6945506396785308,3773.305479870918
UKSME-100008,2022-09-25,Retail,South East,10.5,1312128.0,10,0.0151,17.63,0.81,53721.0,84,1,0.506,828,0,0,0.319,42123.0,5.25,4.3,0.6,0.1914208433794717,0.1936581314612425,Stage 2,60,0.6591242915344511,0.6591242915344511,10154.33188286402
UKSME-100009,2024-02-11,Retail,South East,9.7,917295.0,12,0.1207,4.95,2.89,20255.0,60,1,1.004,522,0,0,0.204,18213.0,5.25,4.3,0.6,0.21490055894016655,0.21741227318608905,Stage 2,60,0.7064614373850692,0.7064614373850692,2982.197563263896
UKSME-100010,2021-05-03,Transport,North West,13.7,498333.0,2,0.1731,1.57,9.09,49093.0,48,0,0.0,714,5,0,0.661,42408.0,5.25,4.3,0.6,0.10659109315130391,0.10783690827843498,Stage 1,12,0.10783690827843495,0.10783690827843498,3465.6981759204527
UKSME-100011,2021-05-27,Manufacturing,London,5.1,731661.0,6,0.1749,2.08,6.88,209460.0,36,1,0.807,607,0,0,0.48,168691.0,5.25,4.3,0.6,0.1243657660269451,0.12581932793378925,Stage 1,12,0.12581932793378925,0.12581932793378925,11680.315404902874
UKSME-100012,2023-05-31,Real Estate,West Midlands,13.8,1310437.0,12,0.1469,4.15,3.44,33509.0,84,0,0.0,730,0,0,0.712,27799.0,5.25,4.3,0.6,0.17042615490718716,0.17241806131854906,Stage 2,60,0.6118004569673476,0.6118004569673476,13883.310068838196
UKSME-100013,2021-04-14,Technology,North West,18.0,1193399.0,8,0.027,4.14,3.45,132045.0,60,1,0.859,630,0,0,0.161,108036.0,5.25,4.3,0.6,0.1523715668939747,0.15415245493413884,Stage 2,60,0.5670273478430944,0.5670273478430944,11307.652063972586
UKSME-100014,2022-10-02,Transport,Yorkshire,4.5,1155967.0,11,0.1527,1.98,7.22,217172.0,48,0,0.0,727,0,0,0.484,172423.0,5.25,4.3,0.6,0.1349623135842947,0.13653972579468693,Stage 1,12,0.13653972579468698,0.13653972579468693,13063.92396970778
UKSME-100015,2023-03-27,Professional Services,South East,3.8,1673988.0,9,0.0866,5.69,2.51,111962.0,120,0,0.0,693,0,1,0.586,84760.0,5.25,4.3,0.6,0.20675933639762034,0.20917589768191172,Stage 3,60,0.6906860655551987,0.6906860655551987,39309.480636557346
UKSME-100016,2024-03-30,Professional Services,South East,4.3,560026.0,3,0.1378,5.1,2.8,90026.0,120,1,0.504,783,0,0,0.268,77205.0,5.25,4.3,0.6,0.15412693451632353,0.15592833893804398,Stage 2,60,0.5715535020194848,0.5715535020194848,13558.485172376535
UKSME-100017,2021-09-03,Retail,London,9.0,2664786.0,16,0.0638,7.1,2.01,1500000.0,72,0,0.0,754,5,0,0.496,1195667.0,5.25,4.3,0.6,0.3066763872491562,0.3102607588047286,Stage 2,60,0.8438921743831268,0.8438921743831268,534000.334890908
UKSME-100018,2023-04-14,Transport,London,13.1,262986.0,3,0.1721,1.55,9.19,125001.0,12,1,0.292,718,0,0,0.303,112262.0,5.25,4.3,0.6,0.0861286744276669,0.08713532894550192,Stage 1,12,0.08713532894550191,0.08713532894550192,3398.1593290968403
UKSME-100019,2023-02-13,Professional Services,East of England,8.9,480816.0,3,-0.0215,186.22,-0.79,40312.0,48,1,0.803,739,0,1,0.23,35216.0,5.25,4.3,0.6,0.2423677423309088,0.2452004874580823,Stage 3,48,0.6754164961727969,0.6754164961727969,6272.108807378989
UKSME-100020,2023-03-13,Healthcare,Scotland,14.8,1205302.0,9,0.1347,1.43,10.0,413024.0,60,1,0.437,720,0,0,0.188,394850.0,5.25,4.3,0.6,0.06981429671642832,0.07063027208892855,Stage 1,12,0.07063027208892858,0.07063027208892855,6011.113523587787
UKSME-100021,2021-04-04,Professional Services,London,11.6,2308474.0,28,-0.0945,335.01,-9.3,58261.0,48,0,0.0,599,0,1,0.704,52190.0,5.25,4.3,0.6,0.607583462714977,0.6146847752774679,Stage 3,48,0.9779573057109185,0.9779573057109185,36588.055366765824
UKSME-100022,2023-02-01,Construction,South East,8.7,2261477.0,15,0.1341,2.83,5.04,210069.0,60,0,0.0,711,0,0,0.837,159345.0,5.25,4.3,0.6,0.1629807750042202,0.16488566132191268,Stage 2,60,0.5938095557221061,0.5938095557221061,90648.9319678476
UKSME-100023,2024-04-06,Hospitality,North West,6.1,1237196.0,7,0.0627,4.45,3.21,172269.0,84,0,0.0,782,0,1,0.369,149219.0,5.25,4.3,0.6,0.1957174936677118,0.19800500012858752,Stage 3,60,0.6682138116576308,0.6682138116576308,42183.24627672658
UKSME-100024,2022-04-02,Real Estate,West Midlands,25.0,6304781.0,75,0.1295,0.34,41.57,86029.0,36,0,0.0,766,0,0,0.491,65272.0,5.25,4.3,0.6,0.0015548430479931943,0.0015730157389023203,Stage 1,12,0.0015730157389023391,0.0015730157389023203,57.79836314231625
UKSME-100025,2021-03-03,Hospitality,London,1.0,905113.0,11,0.0753,7.26,1.97,80275.0,48,1,0.698,755,0,0,0.361,67209.0,5.25,4.3,0.6,0.19840828662762788,0.2007272425321141,Stage 2,48,0.5918873630305608,0.5918873630305608,16464.47027380703
UKSME-100026,2022-07-23,Professional Services,North West,28.4,1407000.0,9,0.2005,1.84,7.78,78783.0,72,1,0.559,590,5,0,0.155,70581.0,5.25,4.3,0.6,0.09970485061376154,0.10087018073160402,Stage 1,12,0.10087018073160403,0.10087018073160402,1265.1917851855187
UKSME-100027,2024-04-03,Construction,London,11.6,197219.0,1,0.1174,2.66,5.37,15230.0,60,1,0.843,787,0,0,0.227,14352.0,5.25,4.3,0.6,0.11116214278734342,0.11246138341762944,Stage 1,12,0.11246138341762946,0.11246138341762944,420.06429014601656
UKSME-100028,2021-06-22,Hospitality,London,4.5,464828.0,5,0.0971,4.27,3.35,34735.0,60,0,0.0,657,0,0,0.624,31710.0,5.25,4.3,0.6,0.21901038962854677,0.22157013874389558,Stage 2,60,0.7141768261038777,0.7141768261038777,15990.63542002302
UKSME-100029,2024-02-15,Technology,West Midlands,11.3,1259848.0,16,0.1008,4.41,3.24,76797.0,48,0,0.0,661,0,0,0.566,69743.0,5.25,4.3,0.6,0.1840810943923239,0.18623259697319403,Stage 2,48,0.5614681333760421,0.5614681333760421,25410.67650866929
UKSME-100030,2022-04-16,Wholesale,South West,24.9,871503.0,6,0.1586,1.15,12.44,42640.0,48,1,0.513,699,65,0,0.287,42217.0,5.25,4.3,0.6,0.13065389951915338,0.13218095585779674,Stage 2,48,0.43282548849935965,0.43282548849935965,6012.514713195569
UKSME-100031,2024-05-09,Wholesale,London,15.6,521991.0,5,0.0208,34.46,0.41,211398.0,120,1,0.566,549,35,0,0.252,173172.0,5.25,4.3,0.6,0.3866527405467552,0.39117185953576933,Stage 2,60,0.91634852789523,0.91634852789523,41543.869002175685
UKSME-100032,2021-04-15,Retail,North West,19.3,873714.0,5,0.0967,3.63,3.93,76289.0,72,0,0.0,641,0,0,0.918,71674.0,5.25,4.3,0.6,0.18834472923028464,0.1905460643123578,Stage 2,60,0.6524952901891664,0.6524952901891664,47499.177524914456
UKSME-100033,2022-12-18,Retail,Scotland,12.9,1424802.0,18,0.1297,0.08,184.75,57444.0,72,1,0.549,881,0,0,0.277,48920.0,5.25,4.3,0.6,2.740149857534705e-11,0.001,Stage 1,12,0.0010000000000000009,0.001,15.536038060000003
UKSME-100034,2022-08-01,Professional Services,East Midlands,9.9,1039791.0,7,0.0479,7.8,1.83,101129.0,48,0,0.0,836,0,0,0.65,88175.0,5.25,4.3,0.6,0.17337414499204842,0.17540050691497114,Stage 2,48,0.537648518092545,0.537648518092545,35328.9993822622
UKSME-100035,2021-05-13,Healthcare,North East,7.6,4693271.0,30,0.0086,68.66,0.21,102542.0,36,1,0.403,889,0,1,0.36,89396.0,5.25,4.3,0.6,0.16768621123847263,0.1696460937426857,Stage 3,36,0.4274812700220808,0.4274812700220808,15772.906818891322
